Txhash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Token
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x2dd60f0b7cf25dfb9ce91d6e9247e88389787ad9","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xb5ce7e1c0d09118e5e302ee7906e3a6c84d68e24","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x9a41b778c2bc730e5acb59101bef0030dbcceb16","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x6d3d3b8f66a9b94e9866816f73a4d0fc62cb003c","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x8cdaa2df681a1c52799641b6d3985cb8c8efabde","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x21b6c5d40119bb23e7bcbbf61af1d203b12616a5","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x283fa4ab1b8f294379b29f66e0605d6ca1f03e17","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xf2a883a650e596e323fbbda039f9e5e371f8563a","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x256cc806c89b639eb2d38acd7883a56cec6e5b58","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x525623e60ea08407af4667df1599401990024006","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xe86a5185c140874f47723b1cf31d68f352076908","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xc4999214199206f1873d97bc1f1e3f409e076e2a","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xaacd659159f85ef11c0ee31c0712ffda56f728f5","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x00df3b6339ba7033314a877e0f7366105cb61e51","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xa8b54cc4e2ee5539f04d0f86d8210f21a5c7b5de","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x059b8f3e7cb3920a26aac9394bd9757238a233c2","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xa3f4bc53e54c91a583f3d3fd7cf20d0a791342fe","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x942eec0d07053dd6a455a13fb348bfca032ac268","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xd9e515260af568f04e2b98e3d119d46566ab8b7d","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0xadcfa06d19348f2e78ff52f3d7ce9d79167d8c74","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
"0x13555e21c2cbd3998556673c50a8d495713e997395240e3c2d9b4605022afada","Success","Reward","55770517","2024-04-13 09:53:50","0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245","Binance: Hot Wallet 2","0x5eb24703e7d2388f7d4fd19b07b584f320b596c0","","3,768,308","!    Kuroro Beasts(KURO  [www.kuroro.gg])"
